Player,Team,Pts,Tot,R,P,KR,PR,IR,FR,BK,BP,FGR,PAT,FG,Conv,Saf,Stat Type
Jamison Crowder,DUKE,66,11,1,8,0,2,0,0,0,0,0,0/0,0/0,0,0,Scoring
Karlos Williams,FSU,66,11,11,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Tajh Boyd,CLEM,60,10,10,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Stacy Coley,MIA,60,10,1,7,1,1,0,0,0,0,0,0/0,0/0,0,0,Scoring
Quinshad Davis,UNC,60,10,0,10,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Ryan Norton,SYR,59,0,0,0,0,0,0,0,0,0,0,27/29,15-Oct,1,0,Scoring
Tyler Boyd,PITT,54,9,1,7,0,1,0,0,0,0,0,0/0,0/0,0,0,Scoring
Robert Godhigh,GT,54,9,7,2,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Rashad Greene,FSU,54,9,0,9,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Cody Journell,VT,54,0,0,0,0,0,0,0,0,0,0,24/26,16-Oct,0,0,Scoring
Chad Hedlund,WF,50,0,0,0,0,0,0,0,0,0,0,26/26,12-Aug,0,0,Scoring
Alec Vozenilek,UVA,50,0,0,0,0,0,0,0,0,0,0,14/15,15-Dec,0,0,Scoring
Isaac Bennett,PITT,48,8,7,1,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
James Conner,PITT,48,8,8,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Zach Laskey,GT,48,8,7,1,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Vad Lee,GT,48,8,8,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Ryan Switzer,UNC,48,8,0,3,0,5,0,0,0,0,0,0/0,0/0,0,0,Scoring
James Wilder Jr.,FSU,48,8,8,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Devin Street,PITT,44,7,0,7,0,0,0,0,0,0,0,0/0,0/0,1,0,Scoring
Martavis Bryant,CLEM,42,7,0,7,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Terrel Hunt,SYR,42,7,7,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Roderick McDowell,CLEM,42,7,5,2,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Nick O'Leary,FSU,42,7,0,7,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Marquise Williams,UNC,42,7,6,1,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Alex Amidon,BC,36,6,0,5,0,0,0,1,0,0,0,0/0,0/0,0,0,Scoring
Michael Campanaro,WF,36,6,0,6,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
D.J. Coles,VT,36,6,0,6,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Allen Hurns,MIA,36,6,0,6,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Duke Johnson,MIA,36,6,6,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
T.J. Logan,UNC,36,6,4,0,2,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Tanner Price,WF,36,6,5,1,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Kenny Shaw,FSU,36,6,0,6,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Herb Waters,MIA,36,6,1,5,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Anthony Boone,DUKE,30,5,5,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Matt Dayes,NCST,30,5,4,1,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Gus Edwards,MIA,30,5,5,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Prince-Tyson Gulley,SYR,30,5,4,1,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Romar Morris,UNC,30,5,5,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Rashard Smith,NCST,30,5,0,3,0,2,0,0,0,0,0,0/0,0/0,0,0,Scoring
Logan Thomas,VT,26,4,4,0,0,0,0,0,0,0,0,0/0,0/0,1,0,Scoring
Issac Blakeney,DUKE,24,4,0,4,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
C.J. Davidson,CLEM,24,4,4,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Synjyn Days,GT,24,4,4,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Braxton Deaver,DUKE,24,4,0,4,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Jela Duncan,DUKE,24,4,3,1,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
DeVon Edwards,DUKE,24,4,0,0,2,0,2,0,0,0,0,0/0,0/0,0,0,Scoring
Josh Harris,WF,24,4,4,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Bug Howard,UNC,24,4,0,4,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Nigel King,MD,24,4,0,4,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Max McCaffrey,DUKE,24,4,0,4,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Brandon Ross,MD,24,4,4,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Stanton Seckinger,CLEM,24,4,0,4,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
DeAndre Smelter,GT,24,4,0,4,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Shadrach Thornton,NCST,24,4,4,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Kermit Whitfield,FSU,24,4,2,0,2,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Myles Willis,BC,24,4,2,1,1,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Jameis Winston,FSU,24,4,4,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Ian Frye,UVA,19,0,0,0,0,0,0,0,0,0,0,10-Oct,4-Mar,0,0,Scoring
Chad Abram,FSU,18,3,0,3,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Zac Brooks,CLEM,18,3,2,1,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Christopher Clark,SYR,18,3,0,3,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Stefon Diggs,MD,18,3,0,3,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Eric Ebron,UNC,18,3,0,3,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Manasseh Garner,PITT,18,3,0,3,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
D.J. Howard,CLEM,18,3,2,1,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Levern Jacobs,MD,18,3,0,3,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Darius Jennings,UVA,18,3,0,3,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Demitri Knowles,VT,18,3,0,2,0,0,0,1,0,0,0,0/0,0/0,0,0,Scoring
Quintin Payton,NCST,18,3,0,3,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Shaquille Powell,DUKE,18,3,2,1,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Jumichael Ramos,NCST,18,3,0,3,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Albert Reid,MD,18,3,2,1,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Tom Savage,PITT,18,3,3,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Jake Sinkovec,BC,18,3,0,3,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Josh Snead,DUKE,18,3,2,1,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Dave Stinebaugh,MD,18,3,0,3,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Darren Waller,GT,18,3,0,3,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
David Watford,UVA,18,3,3,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Mike Williams,CLEM,18,3,0,3,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
