Data Extracted from EPA's FLIGHT Tool (http://ghgdata.epa.gov/ghgp),,,,,,,,,,,,,,,,,,,,,,,,,,,
The data was reported to EPA by facilities as of 08/16/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
All emissions data is presented in units of metric tons of carbon dioxide equivalent using GWP's from IPCC's AR4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search Parameters: year=2011-2023; GHGs=ALL; data type=All Direct Emitters; ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
FACILITY,GHGRP ID,REPORTED ADDRESS,LATITUDE,LONGITUDE,CITY,COUNTY,STATE,ZIP CODE,PARENT COMPANIES,SUBPARTS,"TOTAL REPORTED EMISSIONS, 2011","TOTAL REPORTED EMISSIONS, 2012","TOTAL REPORTED EMISSIONS, 2013","TOTAL REPORTED EMISSIONS, 2014","TOTAL REPORTED EMISSIONS, 2015","TOTAL REPORTED EMISSIONS, 2016","TOTAL REPORTED EMISSIONS, 2017","TOTAL REPORTED EMISSIONS, 2018","TOTAL REPORTED EMISSIONS, 2019","TOTAL REPORTED EMISSIONS, 2020","TOTAL REPORTED EMISSIONS, 2021","TOTAL REPORTED EMISSIONS, 2022","TOTAL REPORTED EMISSIONS, 2023",CHANGE IN EMISSIONS (2022 TO 2023),CHANGE IN EMISSIONS (2011 TO 2023),SECTORS,
220 Gulf Coast Basin DEC,1009238,333 West Sheridan Ave,35.466697,-97.51453,Oklahoma City,,OK,73102,DEVON ENERGY CORP (100%),W,"148,425","94,676","63,896","171,274","747,874","808,768","767,413","811,065","668,194","586,569","570,971","1,173,336","1,166,132","7,204","1,017,707",Petroleum and Natural Gas Systems,
230 Arkla Basin DEC,1008121,333 West Sheridan Ave,35.46734,-97.51406,Oklahoma City,Oklahoma,OK,73102,Devon Energy Corporation (100%);,,"28,859","27,840","21,834",0,0,0,0,0,0,0,0,0,0,0,0,Petroleum and Natural Gas Systems,
230 Arkla Basin QEP Energy Company,1009283,1050 17th Street Unit 800,39.7480769,-104.994564,Denver,,CO,80265,QEP RESOURCES INC (100%),,"348,358","302,760","154,266","149,043","135,085","57,168","102,681","83,993",0,0,0,0,0,0,0,Petroleum and Natural Gas Systems,
23rd and 3rd,1000112,730 3rd Avenue,40.663,-74,BROOKLYN,Kings,NY,11232,NEW YORK POWER AUTHORITY (100%),"C,D","100,592","68,985","102,599","40,722","67,399","66,797","52,699","70,705","44,658","60,820","46,082","68,839","31,916","36,923","68,676",Power Plants,
260 - East Texas Basin Gathering/Boosting,1012156,737 Eldridge Parkway,29.77455,-95.61949,Houston,HARRIS COUNTY,TX,77079,BP AMERICA INC (100%),,0,0,0,0,0,"46,921","46,092","42,127","9,776","7,460","4,812",0,0,0,0,Petroleum and Natural Gas Systems,
260 East Texas Basin,1009117,701 Cedar Lake Blvd,35.56719,-97.49827,Oklahoma City,OKLAHOMA COUNTY,OK,73114,"CHAPARRAL ENERGY, INC (100%);",,"51,115","17,101","11,027",104,0,0,0,0,0,0,0,0,0,0,0,Petroleum and Natural Gas Systems,
260 East Texas Basin - BP America Production Company,1009170,501 Westlake Park Blvd.,29.78037,-95.6295,Houston,,TX,77079,BP AMERICA INC (100%),W,"40,809","34,844","62,618","52,434","42,528","43,942","67,155","97,345","76,941","23,735","27,909","15,645","13,382","2,263","27,427",Petroleum and Natural Gas Systems,
29-6 #2 Central Delivery Point,1006394,,36.7452,-107.4455,Blanco,Rio Arriba,NM,87412,"WILLIAMS PARTNERS, LP (100%)",,"19,390","10,873","14,577","15,353","15,392",0,0,0,0,0,0,0,0,0,0,Petroleum and Natural Gas Systems,
30-30 Gas Plant,1013701,2300 FM 1622,33.05188,-102.88792,Plains,YOAKUM COUNTY,TX,79355,STAKEHOLDER GAS SERVICES LLC (100%),"C,PP,RR (RPT),W",0,0,0,0,0,0,0,0,0,"31,276","26,055","40,913","44,171","3,258",0,Petroleum and Natural Gas Systems,
30-5 Central Delivery Point Compressor Station,1002885,,36.8118,-107.4036,Aztec,Rio Arriba,NM,87410,"WILLIAMS PARTNERS, LP (100%)",,"36,223",0,0,0,0,0,0,0,0,0,0,0,0,0,0,Petroleum and Natural Gas Systems,
30-5 Compressor Station,1002885,,36.8118,-107.4036,Aztec,Rio Arriba,NM,87410,"WILLIAMS PARTNERS, LP (100%)",,0,"26,701","22,330","21,884","22,507",0,0,0,0,0,0,0,0,0,0,Petroleum and Natural Gas Systems,
31-6 Central Delivery Point,1002707,,36.8363,-107.4199,BLOOMFIELD,Rio Arriba,NM,87413,"WILLIAMS PARTNERS, LP (100%)",,"66,287","66,670","68,228","62,914","52,647",0,0,0,0,0,0,0,0,0,0,Petroleum and Natural Gas Systems,
31st Street Landfill,1003742,11700 W 31ST ST,41.834962,-87.916392,WESTCHESTER,COOK COUNTY,IL,60154,CATHOLIC BISHOP OF CHICAGO (100%),"C,HH","95,113","87,358","97,468","120,707","92,697","120,658","29,027","31,220","18,925","100,501","7,751","106,294","29,264","77,030","65,849",Waste,
32-7 Central Delivery Point,1002718,,36.9313,-107.5604,Blanco,SAN JUAN,NM,87412,"WILLIAMS PARTNERS, LP (100%)",,"52,002","49,093","41,751","40,757","33,654",0,0,0,0,0,0,0,0,0,0,Petroleum and Natural Gas Systems,
32-8 #2 CDP COMPRESSOR STATION,1002721,,36.9569,-107.6631,BLANCO,SAN JUAN,NM,87412,"WILLIAMS PARTNERS, LP (100%)",,"49,058",0,0,0,0,0,0,0,0,0,0,0,0,0,0,Petroleum and Natural Gas Systems,
32-8 #2 Central Delivery Point,1002721,,36.9569,-107.6631,Blanco,SAN JUAN,NM,87412,"WILLIAMS PARTNERS, LP (100%)",,0,"49,628","45,790","44,334","40,868",0,0,0,0,0,0,0,0,0,0,Petroleum and Natural Gas Systems,
340 Arkoma Basin QEP Energy Company,1009284,"6100 South Yale, Suite 900",36.0613546,-95.9515399,Tulsa,TULSA COUNTY,OK,74136,QEP RESOURCES INC (100%);,,"35,042","39,699","60,989","67,739",0,0,0,0,0,0,0,0,0,0,0,Petroleum and Natural Gas Systems,
345 - Arkoma Basin Gathering/Boosting,1012155,737 Eldridge Parkway,29.77455,-95.61949,Houston,HARRIS COUNTY,TX,77079,BP AMERICA INC (100%),,0,0,0,0,0,"78,994","79,633","61,835","57,855",0,0,0,0,0,0,Petroleum and Natural Gas Systems,
345 Arkoma Basin,1012472,"811 Louisiana, Suite 2100",29.75993,-95.366413,Houston,HARRIS COUNTY,TX,77002,TARGA RESOURCES CORP (100%),W,0,0,0,0,0,"55,733","76,386","75,660","78,340","80,395","57,576","66,775","92,930","26,156",0,Petroleum and Natural Gas Systems,
345 Arkoma Basin - BP America Production Company,1009169,501 Westlake Park Blvd.,29.78037,-95.6295,Houston,HARRIS COUNTY,TX,77079,BP AMERICA INC (100%),,"221,545","207,004","183,274","175,867","223,226","258,715","215,485","164,536","167,141",0,0,0,0,0,0,Petroleum and Natural Gas Systems,
345 Arkoma Basin DEC,1008285,333 West Sheridan Ave,35.46734,-97.51406,Oklahoma City,Oklahoma,OK,73102,Devon Energy Corporation (100%);,,"30,257","24,483","10,584",0,0,0,0,0,0,0,0,0,0,0,0,Petroleum and Natural Gas Systems,
345 Arkoma Bravo NR,1011963,"1323 East 71st Street, Suite 400",36.062167,-95.974333,Tulsa,,OK,74136,NATURAL GAS PARTNERS (100%),,0,0,0,0,"182,937","116,979","126,415","116,308",0,0,0,0,0,0,0,Petroleum and Natural Gas Systems,
350 South Oklahoma Folded Belt,1009119,701 Cedar Lake Blvd,35.56719,-97.49827,Oklahoma City,OKLAHOMA COUNTY,OK,73114,CHAPARRAL ENERGY INC (100%),,"56,196","29,501","6,316","8,034","9,918",0,0,0,0,0,0,0,0,0,0,Petroleum and Natural Gas Systems,
350 South Oklahoma Folded Belt,1012466,"811 Louisiana, Suite 2100",29.75993,-95.366413,Houston,HARRIS COUNTY,TX,77002,TARGA RESOURCES CORP (100%),W,0,0,0,0,0,"177,420","181,826","181,005","179,280","191,497","134,291","90,946","89,986",960,0,Petroleum and Natural Gas Systems,
355 Chatauque Platform,1009264,701 Cedar Lake Blvd,35.56719,-97.49827,Oklahoma City,OKLAHOMA COUNTY,OK,73114,CHAPARRAL ENERGY INC (100%),,"207,116","66,500","26,479","30,200","25,094","18,037","1,133","5,331","3,863",0,0,0,0,0,0,Petroleum and Natural Gas Systems,
355 Chautauqua Platform DEC,1008286,333 West Sheridan Ave,35.4711808,-97.516602,Oklahoma City,Oklahoma,OK,73102,DEVON ENERGY CORP (100%),,0,"48,966","70,379","27,662","39,525",732,509,0,0,0,0,0,0,0,0,Petroleum and Natural Gas Systems,
360 Anadarko Basin,1009265,"4700 Gaillardia Parkway, Ste. 200",35.56719,-97.49827,Oklahoma City,,OK,73142,CHAPARRAL ENERGY INC (100%),W,"243,416","206,799","188,100","258,855","328,261","311,050","136,681","253,819","215,964","124,279","138,426","147,115","182,531","35,416","60,885",Petroleum and Natural Gas Systems,
360 Anadarko Basin,1012522,811 Louisiana Suite 2100,29.75993,-95.366413,Houston,HARRIS COUNTY,TX,77002,TARGA RESOURCES CORP (100%),W,0,0,0,0,0,"425,140","466,539","505,632","467,309","380,811","309,111","254,530","240,664","13,865",0,Petroleum and Natural Gas Systems,
360 Anadarko Basin - BP America Production Company,1008558,501 Westlake Park Blvd,29.78037,-95.6295,Houston,HARRIS COUNTY,TX,77079,BP AMERICA INC (100%),,"210,960","177,948","250,564","263,877","361,418","354,093","85,959","268,662","45,653",0,0,0,0,0,0,Petroleum and Natural Gas Systems,
360 Anadarko Basin DEC,1008287,333 West Sheridan Ave,35.466697,-97.51453,Oklahoma City,,OK,73102,DEVON ENERGY CORP (100%),W,"392,735","396,990","357,672","381,235","353,195","252,802","406,377","447,673","408,393","363,346","211,619","349,859","310,278","39,581","82,457",Petroleum and Natural Gas Systems,
360 Anadarko Basin QEP Energy Company,1009285,"6100 South Yale, Suite 900",36.072617,-95.923102,Tulsa,,OK,74136,QEP RESOURCES INC (100%),,"251,717","184,781","94,746","7,747","4,871",0,0,0,0,0,0,0,0,0,0,Petroleum and Natural Gas Systems,
360 Anadarko Camino Production,1013331,1200 17th Street Suite 2200,39.75164151,-104.9966423,Denver,,CO,80202,CAMINO NATURAL RESOURCES LLC (100%),W,0,0,0,0,0,0,0,0,0,0,"91,396","100,487","125,092","24,605",0,Petroleum and Natural Gas Systems,
375 Sedgwick Basin,1012523,"811 Louisiana, Suite 2100",29.75993,-95.366413,Houston,HARRIS COUNTY,TX,77002,TARGA RESOURCES CORP (100%),W,0,0,0,0,0,"89,576","92,436","82,616","71,270","53,589","44,717","37,528","33,057","4,471",0,Petroleum and Natural Gas Systems,
395 Williston Basin,1012526,"811 Louisiana, Suite 2100",29.75993,-95.366413,Houston,HARRIS COUNTY,TX,77002,TARGA RESOURCES CORP (55%); BLACKSTONE GSO HOLDINGS LLC (45%),W,0,0,0,0,0,"96,380","76,802","93,274","121,276","128,133","149,687","151,887","132,909","18,979",0,Petroleum and Natural Gas Systems,
395 Williston Basin GB WPX,1014714,333 W Sheridan Ave,35.46715529,-97.51773636,OKLAHOMA CITY,,OK,73102,DEVON ENERGY CORP (100%),W,0,0,0,0,0,0,0,0,0,0,0,"31,476","26,472","5,004",0,Petroleum and Natural Gas Systems,
395 Williston Basin QEP Energy Company,1009281,"1050 17th Street, Suite 500",39.74846,-104.99402,Denver,,CO,80265,QEP RESOURCES INC (100%),,"65,451","226,559","791,734","1,062,195","547,374","402,105","349,332","368,281","334,639","288,652",0,0,0,0,0,Petroleum and Natural Gas Systems,
3M BROWNWOOD,1003188,4501 HIGHWAY 377 SOUTH,31.671177,-98.996513,BROWNWOOD,BROWN COUNTY,TX,76801,3M CO (100%),"C,N","37,149","33,672","34,822","36,420","36,755","31,773","36,202","34,432","30,572","29,360","28,243","29,520","22,883","6,637","14,266",Minerals,
3M CO,1005043,,44.951,-92.9959,MAPLEWOOD,RAMSEY COUNTY,MN,55144,3M CO (100%),C,"76,373","72,407","80,335","81,855","79,440","79,174","76,595","104,996","106,258","82,308","82,788","87,926","77,909","10,017","1,535",Other,
3M CO - GUIN,1003739,6675 US HIGHWAY 43,33.96548,-87.89936,GUIN,MARION COUNTY,AL,35563,3M CO (100%),"C,N","29,978","31,179","32,082","33,684","31,695","18,948","25,134","28,622","29,771","27,083","31,130","29,838","30,098",260,121,Minerals,
3M CO - WAUSAU DOWNTOWN,1007698,144 ROSECRANS ST,44.95018,-89.63766,WAUSAU,MARATHON COUNTY,WI,54401,3M CO (100%),C,"28,389","27,702","29,430","26,667","22,927","36,574","42,621","40,427","45,435","46,909","41,220","41,528","35,941","5,587","7,552",Other,
3M COMPANY,1004206,1400 STATE DOCKS RD.,34.641667,-87.038611,DECATUR,MORGAN COUNTY,AL,35609,3M CO (100%),"C,L,OO","60,443","57,279","58,215","53,025","47,000","48,268","47,332",0,0,0,0,0,0,0,0,Chemicals,
3M CORDOVA,1006665,22614 ROUTE 84 NORTH,41.755,-90.284167,CORDOVA,ROCK ISLAND COUNTY,IL,61242,3M CO (100%),"C,L,OO","1,380,760","1,485,532","2,289,069","1,230,363","889,485","697,084","713,888",0,0,0,0,0,0,0,0,Chemicals,
3M Chemical Operations' Cordova Facility,1006665,22614 ROUTE 84 NORTH,41.755,-90.284167,CORDOVA,ROCK ISLAND COUNTY,IL,61242,3M CO (100%),"C,L,OO",0,0,0,0,0,0,0,"723,398","766,972","656,993","687,526","650,245","637,397","12,848",0,Chemicals,
3M Chemical Operations' Cottage Grove Facility,1004836,10746 Innovation Rd,44.789444,-92.908333,Cottage Grove,WASHINGTON COUNTY,MN,55016,3M CO (100%),"C,L,N,OO",0,0,0,0,0,0,0,"62,459","55,977","48,362","63,760","24,092","20,825","3,267",0,"Chemicals, Minerals",
3M Chemical Operations' Decatur Facility,1004206,1400 STATE DOCKS RD.,34.641667,-87.038611,DECATUR,MORGAN COUNTY,AL,35609,3M CO (100%),"C,L,OO",0,0,0,0,0,0,0,"48,998","46,652","44,016","45,774","38,182","37,564",617,0,Chemicals,
3M Cottage Grove Center - Site,1004836,10746 Innovation Rd,44.789444,-92.908333,Cottage Grove,WASHINGTON COUNTY,MN,55016,3M CO (100%),"C,L,N,OO","73,653","56,199","64,664","66,307","45,416","37,814","31,525",0,0,0,0,0,0,0,0,"Chemicals, Minerals",
3M INDUSTRIAL MINERAL PRODUCTS DIVISION,1003408,3110 WALTERS DRIVE,34.70537,-92.24607,LITTLE ROCK,PULASKI COUNTY,AR,72206,3M CO (100%),C,"22,892","21,306","28,079","31,189","24,870","30,646","29,696","25,542","30,635","33,733","32,655","32,760","32,129",631,"9,237","Other, Minerals",
3M MAGNETIC TAPE MANUFACTURING DIVISION,1004914,905-915 ADAMS STREET SOUTHEAST,44.879677,-94.359598,HUTCHINSON,MCLEOD COUNTY,MN,55350,3M CO (100%),C,"39,973","36,169","37,107","39,454","36,317","31,373","37,907","38,918","39,938","39,808","36,926","37,329","53,953","16,623","13,979","Pulp and Paper, Other",
3M NEVADA PLANT,1004804,2120 E. AUSTIN,37.834476,-94.330625,NEVADA,VERNON COUNTY,MO,64772,3M CO (100%),C,"30,395","28,931","29,197","27,259","31,007","30,264","30,529","33,196","33,840","31,563","34,007","34,976","31,394","3,582",999,Other,
3M Pittsboro,1013282,4191 Hwy 87 South,35.660546,-79.176782,Moncure,,NC,27559,3M CO (100%),C,0,0,0,0,0,0,0,"25,848","25,969","26,496","29,339","28,142","27,051","1,091",0,Minerals,
4 West Mine,1007408,625 Bald Hill Church Road,39.75537,-80.003499,Dilliner,GREENE COUNTY,PA,15327,MEPCO INTERMEDIATE HOLDINGS LLC (100%),,"62,458","61,193",0,"118,171","133,882","86,127","154,923","27,814",0,0,0,0,0,0,0,Other,
415 Strawn BKV  GB,1012545,4800 BLUE MOUND RD,32.78882,-97.34363,FORT WORTH,,TX,76106,BKV CORP (100%),W,0,0,0,0,0,"531,444","489,785","290,344","371,374","324,995","467,587","146,090","163,140","17,050",0,Petroleum and Natural Gas Systems,
415 Strawn Basin BKV,1009276,4800 BLUE MOUND RD,35.4711808,-97.516602,Bridgeport,,TX,76106,BKV CORP (100%),W,0,0,0,"135,594","188,287",0,0,0,0,0,0,0,0,0,0,Petroleum and Natural Gas Systems,
415 Strawn Basin BKV - Production,1009276,4800 BLUE MOUND RD,35.4711808,-97.516602,FORT WORTH,,TX,76106,BKV CORP (100%),W,0,0,0,0,0,"210,443","221,400","78,817","54,343","54,646","134,228","690,921","600,459","90,462",0,Petroleum and Natural Gas Systems,
415 Strawn Basin DEC,1009276,4800 BLUE MOUND RD,35.4711808,-97.516602,Oklahoma City,,OK,76106,BKV CORP (100%),W,"280,103","220,282","204,625",0,0,0,0,0,0,0,0,0,0,0,0,Petroleum and Natural Gas Systems,
420 Fort Worth Syncline,1012495,"811 Louisiana, Suite 2100",29.75993,-95.366413,Houston,HARRIS COUNTY,TX,77002,TARGA RESOURCES CORP (100%),W,0,0,0,0,0,"267,263","222,562","200,907","222,286","228,113","123,752","165,400","162,594","2,806",0,Petroleum and Natural Gas Systems,
420 Fort Worth Syncline BKV,1008289,1209 CR 1304,35.466697,-97.51453,Bridgeport,,TX,76426,BKV CORP (100%),W,0,0,0,"499,148","539,760",0,0,0,0,0,0,0,0,0,0,Petroleum and Natural Gas Systems,
420 Fort Worth Syncline BKV  GB,1012544,4800 Blue Mound Rd,32.78882,-97.34363,Fort Worth,,TX,76106,BKV CORP (100%),W,0,0,0,0,0,"56,571","55,779","49,823","78,644","69,958","41,750","30,610","27,713","2,897",0,Petroleum and Natural Gas Systems,
420 Fort Worth Syncline BKV - Production,1008289,1209 CR 1304,35.466697,-97.51453,Bridgeport,,TX,76426,BKV CORP (100%),W,0,0,0,0,0,"494,024","501,431","441,347","436,885","428,738","1,118,048","933,203","664,355","268,848",0,Petroleum and Natural Gas Systems,
420 Fort Worth Syncline DEC,1008289,1209 CR 1304,35.466697,-97.51453,Oklahoma City,,OK,76426,BKV CORP (100%),W,"700,990","731,800","553,616",0,0,0,0,0,0,0,0,0,0,0,0,Petroleum and Natural Gas Systems,
425 Bend Arch,1012470,"811 Louisiana, Suite 2100",29.75993,-95.366413,Houston,HARRIS COUNTY,TX,77002,TARGA RESOURCES CORP (100%),W,0,0,0,0,0,"77,515","55,755","48,251","67,800","45,976","36,429","30,570","29,618",952,0,Petroleum and Natural Gas Systems,
430 - Permian Basin - Pinon,1014915,757 N. Eldridge Pkwy,29.77706001,-95.619326,Houston,,TX,77079,PINON MIDSTREAM LLC (100%),W,0,0,0,0,0,0,0,0,0,0,0,"92,245","116,847","24,602",0,Petroleum and Natural Gas Systems,
430 Cotton Draw Midstream,1013815,333 West Sheridan Avenue,35.46713402,-97.5177769,Oklahoma City,,OK,73102,COTTON DRAW MIDSTREAM LLC (100%),W,0,0,0,0,0,0,0,0,0,"95,881","113,891","190,852","219,519","28,667",0,Petroleum and Natural Gas Systems,
430 Permian Basin,1009270,701 Cedar Lake Blvd,35.56719,-97.49827,Oklahoma City,OKLAHOMA COUNTY,OK,73114,"CHAPARRAL ENERGY, INC (100%);",,"104,351","52,768","25,704",209,0,0,0,0,0,0,0,0,0,0,0,Petroleum and Natural Gas Systems,
430 Permian Basin,1012500,"811 Louisiana, Suite 2100",29.75993,-95.366413,Houston,HARRIS COUNTY,TX,77002,TARGA RESOURCES CORP (100%),W,0,0,0,0,0,"1,562,382","1,640,321","2,000,329","2,101,875","2,464,731","2,584,706","3,407,308","3,604,780","197,472",0,Petroleum and Natural Gas Systems,
430 Permian Basin DEC,1008290,333 West Sheridan Ave,35.466697,-97.51453,Oklahoma City,OKLAHOMA COUNTY,OK,73102,DEVON ENERGY CORP (100%),W,"292,748","551,621","508,023","1,073,198","1,951,072","355,199","269,531","676,403","735,490","515,395","470,544","645,555","790,205","144,650","497,457",Petroleum and Natural Gas Systems,
430 Permian Basin GB DEC,1012353,333 West Sheridan Ave,35.46713402,-97.5177769,Oklahoma City,,OK,73102,DEVON ENERGY CORP (100%),W,0,0,0,0,0,"49,091","31,432","36,639","66,507","130,726","63,678","55,241","55,787",546,0,Petroleum and Natural Gas Systems,
430 Permian Basin QEP Energy Company,1009691,1050 17th Street Unit 800,29.75608,-95.36433,Denver,HARRIS COUNTY,CO,80265,QEP RESOURCES INC (100%),,0,"29,191","227,417","126,478","126,172","88,018","164,414","310,934","268,414","275,959",0,0,0,0,0,Petroleum and Natural Gas Systems,
430 Permian RKI Exploration & Production,1009039,333 West Sheridan,35.513564,-97.578898,Denver,OKLAHOMA COUNTY,CO,73102,DEVON ENERGY CORP (100%),W,"30,838",0,0,0,0,0,0,0,0,0,0,0,0,0,0,Petroleum and Natural Gas Systems,
48th Street Peaking Station,1001106,491 E 48TH ST,42.7553,-86.0853,HOLLAND,Allegan,MI,49423,CITY OF HOLLAND MICHIGAN (100%),"C,D","9,815","29,574","9,659","12,517","12,264",0,"51,000","32,160","13,841","49,161","38,255","55,105","39,264","15,842","29,449",Power Plants,
50 Buttes Gas Plant,1012037,3669 South Hwy 50,43.85274,-105.77781,Gillette,CAMPBELL COUNTY,WY,82716,MERITAGE MIDSTREAM SERVICES II LLC (100%),"C,W",0,0,0,0,"35,717","50,953","57,105","77,649","109,781","72,244","59,459","53,616","61,389","7,774",0,Petroleum and Natural Gas Systems,
507 Central Western Overthrust Basin - BP America Production Company,1009790,501 Westlake Park Blvd.,29.78111,-95.62893,Houston,HARRIS COUNTY,TX,77079,BP AMERICA INC (100%);,,"183,586","182,596",0,0,0,0,0,0,0,0,0,0,0,0,0,Petroleum and Natural Gas Systems,
507 Central Western Overthrust QEP Energy Company,1008294,"1050 17th Street, Suite 500",39.74846,-104.99402,Denver,Denver,CO,80265,QEP RESOURCES INC (100%),,0,"32,725","30,345","27,998","39,547","69,259",0,0,0,0,0,0,0,0,0,Petroleum and Natural Gas Systems,
515 Powder River Basin,1012569,"1401 17th Street, Suite 900",39.7312095,-104.9826965,Denver,,CO,80202,WOLD ENERGY PARTNERS LLC (100%),,0,0,0,0,0,"6,976","18,934","39,970","17,937","18,634","14,884",0,0,0,0,Petroleum and Natural Gas Systems,
515 Powder River Basin DEC,1009278,333 West Sheridan Ave,35.4711808,-97.516602,Oklahoma City,,OK,73102,DEVON ENERGY CORP (100%),W,0,"44,508","54,374","167,380","130,588","63,693","134,924","186,275","278,373","212,139","200,084","182,558","207,646","25,089",0,Petroleum and Natural Gas Systems,
