Employee_ID,Age,Gender,Job_Role,Industry,Years_of_Experience,Work_Location,Hours_Worked_Per_Week,Number_of_Virtual_Meetings,Work_Life_Balance_Rating,Stress_Level,Mental_Health_Condition,Access_to_Mental_Health_Resources,Productivity_Change,Social_Isolation_Rating,Satisfaction_with_Remote_Work,Company_Support_for_Remote_Work,Physical_Activity,Sleep_Quality,Region
EMP0070,25,1,Marketing,Finance,6,Remote,28,13,2,1,0,0,0,5,0,1,2,3,North America
EMP0071,43,4,Marketing,Consulting,23,Onsite,39,4,4,2,1,0,2,4,2,1,1,2,North America
EMP0072,50,4,Designer,Consulting,25,Remote,29,13,1,2,3,1,0,2,0,2,1,2,Oceania
EMP0073,28,4,Designer,Retail,15,Onsite,30,14,5,3,2,1,0,2,1,1,1,3,Africa
EMP0074,23,3,Software Engineer,IT,29,Hybrid,53,7,3,3,1,1,1,1,0,1,0,1,Africa
EMP0075,38,4,Project Manager,Consulting,35,Onsite,57,10,2,2,2,0,0,3,0,3,1,1,Africa
EMP0076,42,2,Marketing,Retail,27,Onsite,49,3,5,3,1,1,0,4,2,3,0,3,Asia
EMP0077,31,3,HR,Consulting,4,Onsite,55,8,4,3,3,0,0,1,1,2,1,3,Europe
EMP0078,28,1,Marketing,Healthcare,25,Remote,37,10,5,2,1,1,0,1,2,1,2,2,South America
EMP0079,29,2,Data Scientist,Manufacturing,15,Remote,51,5,2,3,2,1,2,2,0,1,2,2,South America
EMP0080,27,2,Project Manager,Consulting,21,Hybrid,21,7,5,1,2,0,0,4,1,3,1,2,Asia
EMP0081,54,1,Data Scientist,Education,5,Hybrid,21,10,3,3,2,0,1,4,2,4,0,1,Asia
EMP0082,42,3,Software Engineer,Finance,33,Onsite,44,9,4,3,3,1,2,3,0,2,2,1,South America
EMP0083,58,4,HR,Education,32,Hybrid,26,10,3,3,3,1,2,5,1,2,1,3,North America
EMP0084,26,1,Project Manager,Healthcare,15,Hybrid,43,6,4,3,2,1,2,5,1,3,0,1,Europe
EMP0085,56,2,Designer,Retail,9,Hybrid,42,14,4,1,0,1,1,2,1,5,0,3,Oceania
EMP0086,50,2,Designer,Finance,20,Hybrid,44,8,4,1,2,0,0,2,1,4,2,1,Asia
EMP0087,55,4,Project Manager,Manufacturing,10,Onsite,27,0,1,1,1,0,1,1,2,1,1,1,North America
EMP0088,22,4,Data Scientist,Education,26,Hybrid,43,5,1,2,0,1,2,2,1,2,1,1,Africa
EMP0089,24,1,Designer,Consulting,11,Remote,38,0,5,3,1,1,2,5,0,2,0,1,North America
EMP0090,53,4,Marketing,Healthcare,23,Hybrid,38,4,4,1,3,1,2,5,1,4,2,1,Oceania
EMP0091,57,1,Data Scientist,Retail,2,Onsite,57,4,4,2,3,0,0,4,1,2,1,2,Africa
EMP0092,22,1,Software Engineer,Manufacturing,9,Onsite,60,3,1,3,2,0,1,3,2,5,1,3,South America
EMP0093,41,2,Data Scientist,IT,31,Onsite,29,0,5,2,2,0,2,3,2,5,0,1,Asia
EMP0094,46,3,Data Scientist,Education,34,Remote,54,12,4,3,3,1,1,2,2,4,0,2,Europe
EMP0095,60,3,Project Manager,Education,11,Onsite,31,11,5,3,0,0,1,2,0,4,1,2,Africa
EMP0096,44,1,Project Manager,Manufacturing,2,Remote,54,8,5,1,2,0,1,1,2,3,0,3,Asia
EMP0097,35,2,Data Scientist,Healthcare,31,Hybrid,33,11,1,3,2,0,1,5,0,5,1,1,Africa
EMP0098,48,2,Designer,IT,32,Hybrid,25,1,4,1,2,0,2,4,0,3,1,2,South America
EMP0099,31,4,Data Scientist,Healthcare,19,Onsite,21,15,1,1,2,0,0,4,2,5,2,3,Asia
EMP0100,53,2,Project Manager,IT,12,Hybrid,45,10,2,2,0,0,1,3,2,4,2,3,Africa
EMP0101,32,4,Designer,Manufacturing,32,Onsite,53,5,1,2,3,0,2,5,2,1,0,1,Asia
EMP0102,33,4,Sales,Consulting,9,Hybrid,46,12,1,3,2,0,2,2,0,2,2,1,Africa
EMP0103,45,4,Sales,IT,3,Hybrid,22,9,4,3,2,0,0,4,2,4,0,3,Africa
EMP0104,50,2,Software Engineer,Finance,18,Hybrid,60,12,4,3,3,1,2,4,2,5,0,3,Africa
EMP0105,41,1,Designer,Education,30,Hybrid,42,2,4,1,3,1,1,4,2,3,1,2,Africa
EMP0106,43,3,Data Scientist,Healthcare,18,Onsite,60,2,3,3,2,1,2,3,0,3,2,3,South America
EMP0107,29,4,HR,IT,25,Onsite,35,14,1,2,1,1,1,4,0,2,2,3,South America
EMP0108,44,4,Software Engineer,Healthcare,27,Hybrid,44,2,2,3,1,0,1,2,2,5,1,1,Europe
EMP0109,50,4,Software Engineer,Healthcare,2,Remote,50,2,4,2,2,0,0,1,2,2,1,1,Oceania
EMP0110,36,2,Data Scientist,Finance,4,Remote,22,7,5,1,2,0,0,1,0,5,2,3,Asia
EMP0111,34,1,Data Scientist,Education,29,Hybrid,29,13,3,3,1,1,2,5,1,5,1,2,Africa
EMP0112,49,2,HR,Finance,30,Remote,34,8,5,1,2,0,1,5,1,1,1,3,Africa
EMP0113,45,1,Marketing,Retail,10,Remote,30,7,1,1,3,1,2,1,2,5,0,1,Europe
EMP0114,45,4,Data Scientist,Retail,21,Onsite,53,0,3,1,0,1,1,1,0,5,2,1,Europe
EMP0115,53,1,Designer,Healthcare,25,Remote,29,5,2,3,1,0,0,5,0,3,0,1,Oceania
EMP0116,29,2,Marketing,Education,35,Onsite,27,1,3,2,1,1,0,3,1,3,1,3,South America
EMP0117,34,4,Project Manager,Finance,5,Onsite,44,14,3,2,2,0,2,5,2,3,2,3,North America
EMP0118,58,1,Data Scientist,Education,25,Remote,42,13,2,3,2,0,2,5,2,3,2,3,Europe
EMP0119,38,1,Data Scientist,Manufacturing,1,Hybrid,22,4,2,2,2,1,2,5,2,3,2,2,Europe
EMP0120,40,4,Project Manager,Consulting,27,Hybrid,34,13,2,2,0,1,1,2,1,5,2,2,Africa
EMP0121,45,4,Project Manager,Manufacturing,29,Onsite,51,13,2,3,1,0,1,2,0,5,2,2,South America
EMP0122,43,3,Marketing,Retail,18,Hybrid,48,6,5,3,3,1,0,2,1,3,0,3,Europe
EMP0123,50,2,Software Engineer,Healthcare,35,Onsite,30,10,2,3,1,1,0,3,1,1,0,3,Africa
EMP0124,58,4,Sales,Consulting,14,Onsite,59,7,2,1,0,1,2,1,2,5,1,2,North America
EMP0125,42,3,HR,Manufacturing,27,Remote,26,14,2,3,3,1,0,1,1,4,2,2,South America
EMP0126,53,4,Data Scientist,Finance,27,Hybrid,60,1,3,1,2,0,2,5,1,4,0,2,South America
EMP0127,36,1,Marketing,Retail,8,Onsite,38,2,2,2,2,1,1,2,1,1,2,3,North America
EMP0128,51,1,Project Manager,Finance,21,Remote,34,0,5,3,0,1,1,2,1,2,0,2,Europe
EMP0129,27,1,Designer,Consulting,15,Onsite,46,12,4,2,2,0,0,2,1,2,2,1,Europe
EMP0130,22,1,Sales,Retail,21,Hybrid,35,2,3,1,0,1,1,5,1,3,0,2,Oceania
EMP0131,32,1,Designer,Education,16,Remote,23,9,1,2,0,0,0,5,0,5,1,3,Africa
EMP0132,32,1,Marketing,Manufacturing,26,Remote,28,15,5,1,2,1,2,2,1,4,1,2,Africa
EMP0133,53,2,Marketing,Retail,4,Onsite,57,10,3,2,0,0,0,4,0,2,1,3,South America
EMP0134,26,3,Marketing,Manufacturing,29,Hybrid,29,4,1,1,0,1,1,4,2,2,1,3,Europe
EMP0135,60,2,Marketing,Finance,2,Hybrid,39,1,4,2,0,0,2,5,1,2,1,1,Oceania
EMP0136,51,3,Marketing,IT,26,Remote,46,4,5,2,2,0,2,4,1,5,0,3,Oceania
EMP0137,44,2,Data Scientist,Healthcare,14,Remote,26,9,2,3,2,0,0,4,0,5,2,3,South America
EMP0138,48,3,Sales,IT,10,Remote,32,4,4,2,0,1,0,5,2,5,1,1,Oceania
EMP0139,57,3,Data Scientist,Education,34,Remote,30,11,3,3,0,0,2,3,1,5,0,1,North America
EMP0140,49,3,Project Manager,Education,11,Hybrid,48,3,5,1,1,1,1,5,2,1,1,2,Asia
EMP0141,32,3,Project Manager,Education,12,Onsite,44,13,1,3,1,1,1,1,2,5,1,1,Africa
EMP0142,49,1,Project Manager,Healthcare,29,Hybrid,49,15,5,1,2,1,1,5,0,4,0,1,Asia
EMP0143,23,1,Designer,Manufacturing,11,Hybrid,23,0,5,3,0,0,0,2,1,1,1,1,Europe
EMP0144,55,4,Designer,Finance,3,Onsite,33,6,5,1,2,0,0,4,2,2,2,3,North America
EMP0145,47,3,HR,Education,18,Remote,35,15,5,3,1,0,0,4,1,2,2,2,Asia
EMP0146,48,3,Marketing,Consulting,5,Remote,41,8,3,2,3,1,1,4,2,4,1,1,Europe
EMP0147,36,4,Software Engineer,Healthcare,3,Hybrid,34,12,2,1,3,0,2,4,0,3,2,2,Africa
EMP0148,45,2,Designer,Finance,14,Remote,44,10,1,1,1,1,0,1,1,5,2,2,North America
EMP0149,41,1,Designer,IT,10,Onsite,52,8,4,3,3,1,1,3,2,4,2,3,Oceania
EMP0150,50,2,Designer,Consulting,17,Onsite,57,11,2,1,2,1,1,1,1,3,1,3,Oceania
EMP0151,41,1,Software Engineer,Consulting,34,Remote,32,15,3,3,1,1,1,2,1,3,1,2,Oceania
EMP0152,57,1,Designer,Consulting,20,Remote,31,6,4,1,2,0,0,3,2,4,2,1,Oceania
EMP0153,30,2,Software Engineer,Healthcare,29,Hybrid,58,15,1,2,2,0,2,2,1,2,1,1,Africa
EMP0154,23,1,Data Scientist,Consulting,31,Remote,26,9,1,2,3,1,0,2,1,2,0,1,Asia
EMP0155,30,2,Software Engineer,Consulting,17,Remote,57,5,1,1,0,1,0,2,1,4,1,2,North America
EMP0156,47,1,Project Manager,Healthcare,31,Onsite,20,8,1,1,0,0,1,4,0,1,0,3,North America
EMP0157,33,4,Project Manager,Finance,23,Hybrid,26,0,4,3,0,0,1,1,2,2,1,2,South America
EMP0158,32,2,Data Scientist,Finance,21,Hybrid,43,15,3,3,3,0,0,4,0,3,1,3,North America
EMP0159,43,2,Designer,Manufacturing,6,Onsite,50,14,3,1,3,1,2,1,1,3,2,2,South America
EMP0160,43,3,Software Engineer,Healthcare,14,Onsite,52,0,5,3,2,0,2,2,2,3,1,3,Oceania
EMP0161,35,1,Marketing,IT,34,Hybrid,37,1,4,2,1,0,1,2,2,1,0,2,Africa
EMP0162,40,1,Data Scientist,Education,24,Hybrid,38,0,3,3,0,1,0,4,0,1,0,2,Africa
EMP0163,29,4,Designer,Consulting,3,Hybrid,55,11,1,3,3,0,2,1,1,2,1,1,South America
EMP0164,24,3,Data Scientist,Manufacturing,5,Hybrid,53,14,1,2,0,0,2,3,0,1,1,2,Africa
EMP0165,40,2,Software Engineer,Healthcare,11,Onsite,20,13,1,2,2,0,2,5,0,1,0,3,Oceania
EMP0166,22,1,Software Engineer,Manufacturing,10,Hybrid,46,1,2,1,1,1,2,1,0,5,2,1,Africa
EMP0167,48,3,Software Engineer,Education,35,Onsite,30,8,2,1,3,1,0,3,2,2,0,2,Africa
EMP0168,60,3,Software Engineer,Retail,27,Remote,50,8,2,3,1,0,0,3,2,3,2,1,Asia
EMP0169,34,4,HR,Healthcare,15,Remote,50,13,2,2,0,1,0,3,2,2,2,2,Europe
EMP0170,50,4,Project Manager,Manufacturing,10,Hybrid,50,0,1,1,2,1,2,5,2,3,2,1,Europe
EMP0171,38,2,Designer,Retail,19,Remote,23,7,1,1,0,0,2,4,0,3,0,1,North America
EMP0172,36,2,Data Scientist,Retail,33,Onsite,45,3,4,2,3,0,1,3,1,4,0,3,Europe
EMP0173,35,3,Software Engineer,Finance,11,Hybrid,25,4,1,2,2,0,0,4,2,3,1,3,South America
EMP0174,25,4,Designer,Manufacturing,35,Remote,36,9,2,3,0,1,2,1,0,4,1,3,North America
EMP0175,34,3,HR,Education,10,Onsite,60,3,2,1,0,1,1,3,1,5,2,3,Europe
EMP0176,32,4,Project Manager,Healthcare,12,Remote,35,7,3,1,1,1,0,5,2,4,2,2,Europe
EMP0177,58,4,Marketing,Manufacturing,14,Hybrid,55,12,3,2,3,0,0,5,2,4,0,3,North America
EMP0178,40,1,Project Manager,Finance,31,Onsite,47,10,1,2,0,0,1,3,0,2,1,3,Europe
EMP0179,56,1,HR,Healthcare,32,Hybrid,57,10,4,3,0,0,2,4,2,4,0,3,South America
EMP0180,44,3,HR,Education,17,Hybrid,22,9,2,2,0,1,1,3,1,1,0,3,South America
EMP0181,30,3,Data Scientist,IT,22,Remote,43,5,1,2,2,1,1,5,0,2,2,1,Europe
EMP0182,49,3,Marketing,Consulting,29,Remote,45,9,5,1,0,1,1,4,1,4,1,3,South America
EMP0183,26,2,Designer,Healthcare,21,Onsite,56,14,2,1,2,1,2,4,2,1,1,2,Europe
EMP0184,52,2,Data Scientist,IT,22,Onsite,46,14,3,3,3,0,0,3,0,2,2,3,Africa
EMP0185,24,4,HR,Manufacturing,13,Hybrid,60,0,5,2,3,0,1,1,0,2,2,3,Europe
EMP0186,40,3,Designer,Consulting,12,Remote,32,9,1,2,3,0,0,1,1,1,0,2,Asia
EMP0187,57,3,HR,Manufacturing,11,Hybrid,59,13,5,2,1,1,1,5,1,4,1,2,Oceania
EMP0188,23,4,Software Engineer,Consulting,17,Onsite,60,13,5,3,0,0,0,5,0,5,2,3,Oceania
EMP0189,40,4,Data Scientist,IT,35,Hybrid,43,4,5,3,2,0,0,2,1,3,1,2,Oceania
EMP0190,45,2,Data Scientist,Education,15,Remote,33,8,1,1,2,1,0,4,2,2,0,1,North America
EMP0191,46,1,Data Scientist,Finance,11,Hybrid,20,14,3,1,0,0,1,5,2,2,2,2,Europe
EMP0192,37,1,Software Engineer,Retail,16,Hybrid,27,2,1,2,1,1,0,4,1,3,1,1,North America
EMP0193,51,1,Software Engineer,Healthcare,4,Onsite,43,1,5,2,3,0,0,4,1,2,1,2,South America
EMP0194,52,2,Sales,IT,29,Onsite,23,12,2,2,3,0,1,5,0,1,2,2,South America
EMP0195,53,2,Data Scientist,Education,22,Onsite,29,0,1,2,2,0,0,4,0,4,0,3,Africa
EMP0196,39,2,Sales,Education,7,Remote,47,0,2,2,0,0,1,5,0,4,0,1,North America
EMP0197,56,1,Designer,Healthcare,28,Onsite,46,12,1,1,1,1,2,3,0,5,0,3,Oceania
EMP0198,59,3,Marketing,Manufacturing,13,Hybrid,40,2,1,1,0,1,1,1,0,4,1,2,South America
EMP0199,28,2,Project Manager,Retail,7,Remote,47,0,4,3,2,1,1,1,1,3,2,1,Oceania
EMP0200,36,1,Data Scientist,Finance,3,Remote,53,7,3,3,2,0,1,2,1,2,2,2,South America
EMP0201,45,3,Sales,Education,3,Hybrid,55,14,4,2,2,0,2,4,0,1,2,2,Oceania
EMP0202,52,2,Sales,Retail,2,Remote,40,1,2,2,1,0,1,2,0,3,1,3,Asia
EMP0203,55,1,Project Manager,IT,32,Hybrid,28,8,5,1,3,0,1,2,2,1,0,1,Asia
EMP0204,58,2,Sales,Consulting,18,Hybrid,39,14,3,1,2,0,0,3,0,1,1,3,South America
EMP0205,51,4,Software Engineer,IT,14,Onsite,41,5,5,2,2,0,0,4,1,2,0,3,Asia
EMP0206,52,2,Data Scientist,Finance,5,Onsite,21,3,5,1,2,1,2,4,2,5,2,1,Oceania
EMP0207,54,3,Project Manager,IT,12,Onsite,34,11,3,1,2,1,0,2,1,5,2,3,Africa
EMP0208,35,2,Designer,Retail,2,Remote,36,14,3,1,2,0,1,5,1,2,1,3,Europe
EMP0209,39,2,Marketing,Manufacturing,19,Remote,32,2,4,3,1,1,1,1,2,4,1,2,North America
EMP0210,47,4,Sales,Consulting,7,Hybrid,21,8,2,2,1,0,0,3,1,5,0,2,Africa
EMP0211,49,2,Project Manager,Manufacturing,31,Onsite,56,3,5,3,1,1,0,1,2,4,2,1,Europe
EMP0212,60,4,Marketing,Manufacturing,33,Onsite,58,8,4,1,2,0,0,2,2,4,0,1,North America
EMP0213,47,1,Software Engineer,Manufacturing,11,Onsite,35,8,1,3,0,0,0,2,2,4,0,3,Oceania
EMP0214,27,4,Project Manager,Healthcare,22,Hybrid,52,3,1,1,1,1,1,4,2,5,1,3,Europe
EMP0215,46,4,Marketing,Consulting,30,Remote,33,8,1,1,3,0,2,3,0,4,2,2,South America
EMP0216,25,3,Software Engineer,Manufacturing,22,Remote,47,9,2,2,2,0,1,1,0,4,0,3,Europe
EMP0217,30,2,HR,Education,11,Onsite,56,13,3,2,3,0,2,4,2,4,0,1,Oceania
EMP0218,38,4,Data Scientist,Education,35,Onsite,33,4,2,1,1,1,2,2,0,2,2,2,Europe
EMP0219,56,1,HR,Education,5,Remote,60,9,3,1,1,0,0,1,2,4,1,2,Asia
EMP0220,42,2,Sales,Manufacturing,23,Hybrid,32,5,4,1,2,0,0,2,1,1,1,3,South America
EMP0221,42,4,Project Manager,Retail,18,Hybrid,48,9,5,2,0,0,1,1,2,5,0,3,Oceania
EMP0222,30,1,HR,IT,20,Hybrid,39,6,4,3,0,0,2,3,0,5,0,2,Asia
EMP0223,33,2,Software Engineer,Consulting,6,Onsite,23,6,3,3,1,1,0,5,1,2,1,3,Asia
EMP0224,28,3,Marketing,Retail,29,Hybrid,38,3,3,3,1,1,1,4,2,1,0,2,Africa
EMP0225,50,3,Designer,Manufacturing,1,Remote,30,5,1,1,1,0,2,2,1,2,2,2,North America
EMP0226,44,2,Software Engineer,Retail,4,Onsite,35,3,1,1,0,1,2,3,0,1,1,3,Africa
EMP0227,40,1,Data Scientist,Healthcare,6,Remote,22,0,5,2,0,1,2,4,2,4,1,2,South America
EMP0228,23,2,Project Manager,IT,8,Onsite,28,15,2,2,3,1,2,3,2,3,1,1,Asia
EMP0229,30,1,Marketing,Consulting,32,Onsite,57,4,3,2,2,0,1,3,0,5,1,3,Oceania
EMP0230,42,1,HR,Manufacturing,10,Hybrid,48,14,2,1,2,1,1,3,2,1,1,3,Europe
EMP0231,52,2,Marketing,Retail,7,Onsite,45,14,1,2,2,0,0,5,1,4,2,2,Africa
EMP0232,37,2,Marketing,Healthcare,29,Onsite,34,3,4,1,2,0,1,3,2,2,1,1,Oceania
EMP0233,28,4,Marketing,Manufacturing,19,Hybrid,59,9,5,1,2,0,1,1,1,2,1,1,Africa
EMP0234,31,4,Software Engineer,Consulting,18,Remote,31,6,3,3,0,1,2,3,0,2,1,2,Asia
EMP0235,23,4,Marketing,Retail,9,Onsite,55,12,4,1,2,0,0,2,0,5,2,1,Africa
EMP0236,37,2,Data Scientist,Finance,18,Remote,23,11,2,1,2,0,0,4,1,4,0,2,Oceania
EMP0237,25,2,HR,Healthcare,33,Hybrid,51,7,1,2,3,0,1,2,0,1,1,2,Europe
EMP0238,55,1,Software Engineer,Manufacturing,13,Remote,32,11,5,2,3,1,0,1,2,4,2,2,Europe
EMP0239,56,3,Marketing,IT,4,Remote,41,14,5,1,3,1,2,4,0,1,1,3,North America
EMP0240,51,4,Software Engineer,Manufacturing,24,Hybrid,46,10,1,1,0,0,0,1,0,1,2,1,South America
EMP0241,35,2,HR,Education,6,Onsite,58,15,4,3,3,0,0,3,0,2,1,1,Oceania
EMP0242,22,3,Sales,Manufacturing,2,Onsite,59,13,2,3,2,1,2,3,2,3,1,1,North America
EMP0243,34,3,Project Manager,Education,10,Remote,40,1,1,2,3,0,1,5,0,4,1,3,Oceania
EMP0244,37,4,Sales,Retail,32,Remote,56,3,2,3,2,0,1,1,0,1,1,1,Europe
EMP0245,59,4,Software Engineer,Finance,17,Onsite,47,11,2,3,1,1,0,1,0,3,1,1,North America
EMP0246,53,1,Project Manager,IT,25,Hybrid,38,2,2,1,1,1,2,2,2,3,0,3,South America
EMP0247,38,2,Data Scientist,Healthcare,25,Remote,59,12,5,1,1,0,2,3,0,1,1,2,South America
EMP0248,32,2,Project Manager,Manufacturing,17,Onsite,47,4,1,2,0,1,2,2,1,4,0,1,Oceania
