Player,Team,Pts,Tot,R,P,KR,PR,IR,FR,BK,BP,FGR,PAT,FG,Conv,Saf,Stat Type
Mike Williams,CLEM,68,11,0,11,0,0,0,0,0,0,0,0/0,0/0,1,0,Scoring
Cole Murphy,SYR,66,0,0,0,0,0,0,0,0,0,0,36/39,18-Oct,0,0,Scoring
Mike Knoll,BC,63,0,0,0,0,0,0,0,0,0,0,27/30,14-Dec,0,0,Scoring
George Aston,PITT,60,10,5,5,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Matt Dayes,NCST,60,10,10,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Quadree Henderson,PITT,60,10,5,1,3,1,0,0,0,0,0,0/0,0/0,0,0,Scoring
Travon McMillian,VT,60,10,7,3,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Jester Weah,PITT,60,10,0,10,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Deon Cain,CLEM,54,9,0,9,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Stacy Coley,MIA,54,9,0,9,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Jeremy Smith,LOU,54,9,8,1,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Deshaun Watson,CLEM,54,9,9,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Cole Hikutini,LOU,48,8,0,8,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Elijah Hood,UNC,48,8,8,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Clinton Lynch,GT,48,8,2,6,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
David Njoku,MIA,48,8,0,8,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
AJ Reed,DUKE,46,0,0,0,0,0,0,0,0,0,0,37/38,10-Mar,0,0,Scoring
Jordan Leggett,CLEM,44,7,0,7,0,0,0,0,0,0,0,0/0,0/0,1,0,Scoring
Albert Reid,UVA,44,7,6,1,0,0,0,0,0,0,0,0/0,0/0,1,0,Scoring
Isaiah Ford,VT,42,7,0,7,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Bucky Hodges,VT,42,7,0,7,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Bug Howard,UNC,42,7,0,7,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Daniel Jones,DUKE,42,7,7,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Taquan Mizzell,UVA,42,7,5,2,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Ervin Philips,SYR,42,7,1,6,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Brandon Radcliff,LOU,42,7,6,1,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Travis Rudolph,FSU,42,7,0,7,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Joseph Yearby,MIA,42,7,7,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Olamide Zaccheaus,UVA,42,7,0,7,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Kyle Bambard,NCST,40,0,0,0,0,0,0,0,0,0,0,25/28,10-May,0,0,Scoring
Evan O'Hara,LOU,38,0,0,0,0,0,0,0,0,0,0,29/29,6-Mar,0,0,Scoring
Jaylen Smith,LOU,38,6,0,6,0,0,0,0,0,0,0,0/0,0/0,1,0,Scoring
Cade Carney,WF,36,6,6,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Jela Duncan,DUKE,36,6,6,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Eric Dungey,SYR,36,6,6,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Jon Hilliman,BC,36,6,6,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Matthew Jordan,GT,36,6,6,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
James Quick,LOU,36,6,0,6,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Hunter Renfrow,CLEM,36,6,0,6,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Ryan Switzer,UNC,36,6,0,6,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Auden Tate,FSU,36,6,0,6,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Justin Thomas,GT,36,6,6,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
John Wolford,WF,36,6,6,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Sam Hayward,UVA,31,0,0,0,0,0,0,0,0,0,0,19/19,8-Apr,0,0,Scoring
Reggie Bonnafon,LOU,30,5,0,5,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Deondre Francois,FSU,30,5,5,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Kelvin Harmon,NCST,30,5,0,5,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Mack Hollins,UNC,30,5,0,5,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Marcus Marshall,GT,30,5,4,1,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Nyqwan Murray,FSU,30,5,0,5,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Scott Orndoff,PITT,30,5,0,5,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Cam Phillips,VT,30,5,0,5,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Artavis Scott,CLEM,30,5,0,5,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Freddie Stevenson,FSU,30,5,4,1,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Patrick Towles,BC,30,5,4,1,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Mitch Trubisky,UNC,30,5,5,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Shaun Wilson,DUKE,30,5,4,0,1,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Connor Haskins,NCST,29,0,0,0,0,0,0,0,0,0,0,17/17,7-Apr,0,0,Scoring
Chris Cunningham,VT,26,4,0,4,0,0,0,0,0,0,0,0/0,0/0,1,0,Scoring
Donovan Dowling,UVA,24,4,0,4,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Thomas Jackson,UNC,24,4,0,4,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Jacques Patrick,FSU,24,4,3,0,0,0,0,1,0,0,0,0/0,0/0,0,0,Scoring
Sam Rogers,VT,24,4,0,4,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Jeff Smith,BC,24,4,1,3,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Dontae Strickland,SYR,24,4,4,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Michael Walker,BC,24,4,0,4,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Tommy Sweeney,BC,20,3,0,3,0,0,0,0,0,0,0,0/0,0/0,1,0,Scoring
Braxton Berrios,MIA,18,3,0,2,0,1,0,0,0,0,0,0/0,0/0,0,0,Scoring
Bra'Lon Cherry,NCST,18,3,0,3,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Brisly Estime,SYR,18,3,0,3,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Tabari Hines,WF,18,3,0,3,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Keeon Johnson,UVA,18,3,0,3,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Johnathan Lloyd,DUKE,18,3,0,3,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Steven Peoples,VT,18,3,1,1,0,1,0,0,0,0,0,0/0,0/0,0,0,Scoring
Nathan Peterman,PITT,18,3,3,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Austin Proehl,UNC,18,3,0,3,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Ahmmon Richards,MIA,18,3,0,3,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Erich Schneider,DUKE,18,3,0,3,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Cam Serigne,WF,18,3,0,3,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Jessie Bates,WF,12,2,0,0,0,0,2,0,0,0,0,0/0,0/0,0,0,Scoring
Quay Chambers,DUKE,12,2,0,2,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
